id,name,street,postcode,city,province,lat,lon,osm_id,osm_url,opening_hours,source
jti-xtanco-011,Tabacos cabañaquinta,Calle Doctor Fleming 10,33686,Cabanaquinta,Asturias,43.161408,-5.623876,node/13510349519,https://www.openstreetmap.org/node/13510349519,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-012,Tabacos,Calle Uría / Cai Uría 62,33003,Oviedo,Asturias,43.365155,-5.852805,node/10117016346,https://www.openstreetmap.org/node/10117016346,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-013,Expendedora 35,Avenida de Europa 6C,06004,Badajoz,Badajoz,38.874373,-6.97288,node/2516188972,https://www.openstreetmap.org/node/2516188972,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-014,l'Estanc de La Salut,Carrer de Pau Piferrer 1,08914,Badalona,Barcelona,41.442931,2.224136,node/3561003494,https://www.openstreetmap.org/node/3561003494,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-015,Paloma,Carrer del Clot 63,08018,Barcelona,Barcelona,41.408154,2.188271,node/3049395440,https://www.openstreetmap.org/node/3049395440,"Mo-Sa 10:00-14:00,17:00-20:30",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-016,Estanco nº 376,Carrer de Getsemaní 6,08035,Barcelona,Barcelona,41.425142,2.14025,node/11327789166,https://www.openstreetmap.org/node/11327789166,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-017,Estanco,Carrer de Rocafort 23,08029,Barcelona,Barcelona,41.382471,2.142114,node/9851051917,https://www.openstreetmap.org/node/9851051917,Mo-Fr 09:00-20:00; Sa 09:00-14:00,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-018,Tabacs,Carrer dels Alts Forns 70,08038,Barcelona,Barcelona,41.358975,2.141339,node/7411177579,https://www.openstreetmap.org/node/7411177579,"Mo-Fr 08:00-14:00, 16:30-20:00; Sa 08:00-13:30; PH off",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-019,Estanco,Carrer de la Mare de Déu de Lorda,08033,Barcelona,Barcelona,41.450836,2.191544,node/2339780141,https://www.openstreetmap.org/node/2339780141,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-020,Estanc Girona,Carrer de Girona 183,08037,Barcelona,Barcelona,41.399855,2.164262,node/6338540516,https://www.openstreetmap.org/node/6338540516,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-021,Estanco,Carrer de la Mare de Déu del Socós 34,08540,Centelles,Barcelona,41.796282,2.218873,node/3226267566,https://www.openstreetmap.org/node/3226267566,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-022,L'estanc,Avinguda Catalunya 31,08680,Gironella,Barcelona,42.032114,1.880226,node/4353294610,https://www.openstreetmap.org/node/4353294610,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-023,"Estanc, moda i complements Anna",Passatge Parés 38,08512,Sant Hipòlit de Voltregà,Barcelona,42.016231,2.23767,node/13269965450,https://www.openstreetmap.org/node/13269965450,"Mo-Fr 08:45-13:30,16:30-20:00; Sa 09:00-13:00; PH off",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-024,Tabacs Exp. nº2,Carretera de Valls 66,08710,Santa Margarida de Montbui,Barcelona,41.572908,1.608674,node/441947254,https://www.openstreetmap.org/node/441947254,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-025,Estanc. Expenduria 6,Avinguda de Francesc Macià 120,08800,Vilanova i la Geltrú,Barcelona,41.221136,1.71616,node/10989574920,https://www.openstreetmap.org/node/10989574920,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-026,Pàmies,Carrer Major 11,08901,l'Hospitalet de Llobregat,Barcelona,41.359665,2.100985,node/10278544624,https://www.openstreetmap.org/node/10278544624,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
